"id";"label"
1;"Klimaschutz"
2;"EEG-Förderung"
3;"Erneuerbare Energien"
4;"Klimawandel"
5;"Verfuegbares Ackerland"
6;"Pflanzenanbau zur Energieerzeugung"
7;"Land-/Pachtpreis"
8;"Abholzung von Wäldern"
9;"natürliche Hochmoore"
10;"Nahrungsmittel"
11;"Monokulturen"
12;"Profitmaximierung"
13;"Aenderung des EEGs"
14;"Ethische Problematik"
15;"Akzeptanz Energiepflanzenanbau"
16;"Ressourcenverfügbarkeit (verlässlich und flexibel)"
17;"Nachfrage auf Agrarmarkt nach Energiepflanzen"
18;"Viehdichte"
19;"Wirkungsgrad der Biogasanlagen"
20;"Regelleistung"
21;"Preis für Agrargueter"
22;"Regionale Wertschoepfung"
23;"Energiepreise (regional)"
24;"Unabhaengigkeit von Weltmarktpreis"
25;"Abfallnutzung"
26;"Andere regenerative Energien"
27;"Baeuerliche Landwirtschaft"
28;"Brachfläche"
29;"Energieerzeugung aus Biogas"
30;"Gewerbliche Landwirtschaft"
31;"Gewinnerwartung"
32;"Intensität der Flächennutzung"
33;"Know How – Innovation - Technologie"
34;"Nahrungsmittelpreise"
35;"Naturschutz"
36;"Grundwasserbelastung"
37;"Pflanzenschutzmittel"
38;"Export von Gülle/Gährresten"
39;"Gülleeintrag"
40;"Grünlandumbruch"
41;"Wettbewerb zwischen den Betrieben"
42;"Verduennungsflaechen"
43;"Verschaerfung Duengegesetz"
44;"Verzichtspraemie Pflanzenschutzmittel"
45;"Waerme Komplettnutzung"
46;"Grundwasserqualität"
47;"Wettbewerbsvorteile Unternehmen"
48;"Arbeitsplaetze im Bioenergiesektor"
49;"Biodiversitaet"
50;"Biokraftstoffe"
51;"CO2-Ausstoss"
52;"eiweissreiche Nebenprodukte"
53;"Energiepflanzen und Reststoffe zur Erzeugung von Biogas"
54;"Anzahl von Anlagenbetreibern"
55;"Wirtschaftsvorteile auf dem Weltmarkt"
56;"Arbeit von Umweltverbänden"
57;"Bedarfsgerechte Düngung"
58;"Beratung für Landwirte"
59;"Einkommenssicherheit"
60;"Energiegewinnung aus Erneuerbaren Energien"
61;"EU Richtlinien"
62;"Flächengebundene Viehhaltung"
63;"Gährreste"
64;"Gülle"
65;"Lagerkapazität von Gülle"
66;"Maisanbau"
